ADQUIRIENCIA;ESTADO;TIPO_TERMINAL;TIPO_COMUNICACION;STATUS_TERMINAL;CANTIDAD_EQP
BANCO PROVINCIAL;Distrito Capital;POS;DialUp;Activo;3222
BANCO MERCANTIL;Carabobo;POS;DialUp;Activo;1290
BANCO MERCANTIL;Nueva Esparta;POS;DialUp;Activo;250
BANCO MERCANTIL;Monagas;POS;DialUp;Activo;489
BANCO PROVINCIAL;Lara;POS;DialUp;Inactivo;106
BANCO MERCANTIL;Guarico;POS;DialUp;Activo;350
BANCO PROVINCIAL;Tachira;POS;DialUp;Activo;504
BANCO MERCANTIL;Lara;POS;DialUp;Inactivo;19
BANCO PROVINCIAL;Falcon;CAJA REGIST.;LAN;Activo;224
BANCO PROVINCIAL;Lara;POS;LAN;Activo;965
BANCO MERCANTIL;Tachira;POS;LAN;Activo;163
BANCO PROVINCIAL;Portuguesa;POS;LAN;Activo;309
BANCO MERCANTIL;Distrito Capital;CAJA REGIST.;LAN;Activo;1461
BANCO MERCANTIL;Nueva Esparta;POS;LAN;Activo;202
BANCO MERCANTIL;Distrito Capital;POS;LAN;Activo;295
BANCO MERCANTIL;Barinas;POS;LAN;Activo;35
BANCO PROVINCIAL;Barinas;POS;LAN;Activo;349
BANCO PROVINCIAL;Zulia;POS;LAN;Inactivo;12
BANCO PROVINCIAL;Yaracuy;CAJA REGIST.;LAN;Activo;85
BANCO PROVINCIAL;Aragua;CAJA REGIST.;LAN;Activo;707
BANCO PROVINCIAL;Monagas;POS;LAN;Activo;44
BANCO MERCANTIL;Barinas;CAJA REGIST.;LAN;Activo;117
BANCO MERCANTIL;Trujillo;POS;LAN;Activo;40
BANCO PROVINCIAL;Vargas;POS;LAN;Activo;46
BANCO PROVINCIAL;Trujillo;CAJA REGIST.;LAN;Activo;57
BANCO MERCANTIL;Cojedes;CAJA REGIST.;LAN;Activo;24
BANCO PROVINCIAL;Trujillo;POS;Inalambrico;Activo;429
BANCO MERCANTIL;Lara;POS;Inalambrico;Activo;720
BANCO PROVINCIAL;Zulia;POS;Inalambrico;Activo;2248
BANCO MERCANTIL;Miranda;POS;Inalambrico;Activo;3061
BANCO MERCANTIL;Falcon;POS;Inalambrico;Activo;312
BANCO MERCANTIL;Barinas;POS;Inalambrico;Activo;196
BANCO MERCANTIL;Monagas;POS;Inalambrico;Activo;663
BANCO PROVINCIAL;Carabobo;POS;Inalambrico;Inactivo;40
BANCO PROVINCIAL;Apure;POS;Inalambrico;Activo;184
BANCO PROVINCIAL;Monagas;POS;Inalambrico;Activo;123
BANCO MERCANTIL;Barinas;POS;Inalambrico;Inactivo;1
BANCO MERCANTIL;Portuguesa;POS;DialUp;Inactivo;4
BANCO MERCANTIL;Aragua;POS;LAN;Inactivo;7
BANCO PROVINCIAL;Delta Amacuro;POS;LAN;Activo;2
BANCO PROVINCIAL;Distrito Capital;POS;Inalambrico;Inactivo;7
BANCO PROVINCIAL;Delta Amacuro;POS;Inalambrico;Activo;8
BANCO MERCANTIL;Carabobo;CAJA REGIST.;LAN;Inactivo;4
BANCO MERCANTIL;Zulia;POS;LAN;Inactivo;7
BANCO MERCANTIL;Falcon;POS;Inalambrico;Inactivo;1
BANCO PROVINCIAL;Nueva Esparta;POS;DialUp;Inactivo;7
BANCO MERCANTIL;Distrito Capital;POS;LAN;Inactivo;6
BANCO PROVINCIAL;Trujillo;POS;Inalambrico;Inactivo;1
BANCO MERCANTIL;Aragua;POS;Inalambrico;Inactivo;2
BANCO PROVINCIAL;Sucre;POS;LAN;Inactivo;1
BANCO PROVINCIAL;Merida;POS;DialUp;Activo;2166
BANCO MERCANTIL;Carabobo;POS;DialUp;Inactivo;74
BANCO MERCANTIL;Delta Amacuro;POS;DialUp;Activo;10
BANCO PROVINCIAL;Portuguesa;POS;DialUp;Inactivo;34
BANCO PROVINCIAL;Tachira;POS;DialUp;Inactivo;38
BANCO PROVINCIAL;Merida;POS;DialUp;Inactivo;29
BANCO PROVINCIAL;Sucre;POS;DialUp;Inactivo;16
BANCO PROVINCIAL;Zulia;CAJA REGIST.;LAN;Activo;913
BANCO PROVINCIAL;Trujillo;POS;LAN;Activo;182
BANCO MERCANTIL;Sucre;POS;LAN;Activo;152
BANCO PROVINCIAL;Vargas;CAJA REGIST.;LAN;Activo;147
BANCO PROVINCIAL;Anzoategui;CAJA REGIST.;LAN;Activo;640
BANCO MERCANTIL;Zulia;CAJA REGIST.;LAN;Activo;977
